,Titulo,Precio
0,01 Dormitório Canto Do Forte - Vcqt2029,165.000
1,Frente Mar Por R$170mil - Vcqt2220,170.000
2,"Apartamento Com 2 Dorms, Tupi, Praia Grande - R$ 595 Mil, Cod: Act2263 - Vact2263",595.000
3,Apartamento Frente Mar - Vcqt01371,699.000
4,Apartamento Confortável E Gracioso - Vcqt331,200.000
5,Apartamento De 1 Dormitório Sendo 1 Suíte Mobiliado A Venda Em Praia Grande. - Ap4206,260.000
6,Na Guilhermina Com Lazer Completo!! Financia!! - Vact9292,380.000
7,Maravilhoso Sobrado Em Condomínio No Suarão - Menos De 5 Minutos Da Praia ,265.000
8,"Vem Ver Predio Frente Mar, Pronto Para Morar! - Vjut440",430.000
9,"Apartamento Com 2 Dorms, Canto Do Forte - Vcqt1881",265.000
10,Excelente Apto Centro / Condomínio Clube - Ref. 18091,720.000
11,"Apartamento Com 2 Dorms, - R$ 360 Mil - Vcqt01372",360.000
12,"Apartamento Com 2 Dormitórios À Venda, 62 M² Por R$ 530.000,00 - Imirim - São Paulo/sp - Ap1116",530.000
13,"Linda Cobertura Com 2 Dorms, Real - Vesa10534",616.274
14,"Apart Frente Ao Mar No Caiçara, Jga949 - Vjga949",395.000
15,"Kitnet  Ocian, Praia Grande - R$ 110mil - Vesa14499",110.000
16,"Oportunidade!! 2 Dorms, Ocian - Vftt10154",399.000
17,"Veja Apartamento Com 2 Dorms 2 Suites , Tupi, - Vesa52404",490.000
18,Apartamento Mobiliado R$ 378 Mil - Vcqt01373,378.000
19,02 Dormitórios Com Lazer - Vcqt01248,280.000
20,"Apartamento Com 2 Dormitórios Para Alugar, 76 M² Por R$ 4.340,00/mês - Jardim - Santo André/sp - Ap14861",3.500
21,"Apartamento De 2 Dormitórios Sendo 1 Suíte A Venda Em Praia Grande, Mobiliado E Vista Mar. - Ap4218",420.000
22,"Oportunidade!! 1 Dorm, Tupi - Vftt1763",288.000
23,"02 Dormitórios Pertinho Da Praia, Pronto Para Morar - Vjut437",285.000
24,"Apartamento Com 3 Dormitórios À Venda, 80 M² Por R$ 570.000,00 - Medeiros - Jundiaí/sp - Ap4267",570.000
25,"Oportunidade!! 2 Dorms, Ocian - Vftt10156",400.000
26,"Apartamento Com 2 Dorms, Nossa Senhora Do Sion, Itanhaém - R$ 225 Mil, Cod: 780 - V780",225.000
27,Kitnet Frente Para Rua 300m Da Praia No Boqueirão - Vesa012273,192.000
28,"Apartamento Com 2 Dormitórios Para Alugar, 57 M² Por R$ 1.915,00/mês - Vila Valparaíso - Santo André/sp - Ap3394",1.400
29,"Oportunidade!!  2 Dorms, Guilhermina - Vftt10157",295.000
30,Apto Cidade Baixa | 1 Quartos | 25 M² | Cond: R$290.0 | 0 Vagas - 107zhg6,315.000
31,"Promoção 2 Dorms, Aviação- Entrada R$120 Mil - Vesa101111",504.600
32,"Ap 2 Dorms Vl Caiçara, R$ 200mil - Vmgt81996",200.000
33,"43 Mil De Entrada, 02 Dorms, Sendo 01 Suíte, Vem Ver - Vjut439",391.000
34,"Lindo Ap 1 Dorm, Com Sacada, C/ Lazer - Aviação - Vesa012270",230.000
35,"Kitnet Na Guilhermina, Pertinho Da Praia - Vcqt01142",161.000
36,Apartamento De 1 Dormitório Na Tupi - Ap4144,229.000
37,"Apartamento Edifício Imperial Com 2 Dormitórios À Venda, 51 M² Por R$ 330.000 - Ponte Grande - Guarulhos/sp - Ap1426",330.000
38,"02 Dorms, 01 Suíte, Pronto Para Morar!! - Vjut441",430.000
39,"Ap 1 Dorm, Ocian, R$ 245 Mil - Vmgt81202",245.000
40,"Apartamento Com 2 Dorms, Ocian, Praia Grande - R$ 400 Mil, Cod: Act2265 - Vact2265",400.000
41,Apto Santa Cecília | 3 Quartos | 121 M² | Cond: R$1364.0 | 0 Vagas - 14pciy3,797.872
42,Lançamento Av.marques De São Vicente Barra Funda Com 1 E 2 Dorm - 45,220.000
43,"Apartamento Para Aluguel - Gonzaga , 1 Quarto,  50 M² - 893282604",2.300
44,"Apartamento Com 3 Dorms, Vista Mar  Forte, - Vesa342328",450.000
45,"02 Dorms, 01 Suíte, Em Breve No Bairro Caiçara! - Vjut444",435.000
46,"Apartamento 2 Dorms, Guilhermina Baixou R$ 199mil - Vesa541332",190.000
47,"Kitnet  Ocian, Praia Grande - R$ 115mil - Vesa201499",115.000
